Pattern,Train_count
001011010111000100100101100110000001111000000101,1
001011010110100100100101100100000000111001000101,1
001011010111100100100101100110000000111101000101,1
001011000111100100100101100110000000111011000101,1
011000111110010000100111001100000010010100000111,1
001011000111100100100101100100000000111001000101,1
001011000111100000110101100110000000110111000101,1
001011000111100000110101100110000000110101000101,1
001011000111000000110101100100000100110101000101,1
001011000111000000110101100110000100110111000101,1
001011010111000000110101100100000100110101000101,1
001011000111000100100101100100000000110101000111,1
001011001111100100100101100100000000110100000111,1
111011001111100100100101100100000010010000000111,1
111011001110100100100101100100000010010000000101,1
111011001110100100100101100100000000011100000101,1
111011001110100100100101000100000000110100000101,1
011000111110010000110111001100000011010100000111,1
011000111110010000110111001100000010010100000111,1
011011011111010000100101100100000010010100000111,1
010001011110010100100101000100010011111100000111,1
111101011110011101000101000110000011011111000011,1
010111011111011101100101000110000011111111000111,1
010111011111011101100101000110000001111111000111,1
011011011110011100100101000110000011111111000111,1
010001011111011101100101000110000011111110000111,1
010101011111011101100101000110000011111110000111,1
010101011110011101100101000110000011111111000111,1
010011011110010100100101000110000011111111000111,1
010001011110010100100101000110010011111111000111,1
010001011111010100100101000110000011111111000111,1
010001011110010100100101100110010010111111000111,1
010001011110010100100101000110000011110100000111,1
010001011110010100100101100100010110111101000111,1
011000111110010000100111001100000011010100000111,1
010001011110010100100101000100010110111111000111,1
010001011110010100100101001100010010111100000111,1
