,volume_growth_5,volume_growth_10,Volume_source_date,Actual_trading_day
2019-11-26,-0.3128445236529107,-0.22307017085123704,2019-11-26,True
2019-11-27,-0.37189782162006435,-0.27693043022579245,2019-11-27,True
2019-11-28,-0.5945843408784837,-0.5480640363633468,2019-11-28,True
2019-11-29,0.48925806480013434,0.48861764211289227,2019-11-29,True
2019-12-02,0.5456825767416698,0.5538096154651055,2019-12-02,True
2019-12-03,-0.07127217143156195,-0.16145432327713816,2019-12-03,True
2019-12-04,0.13766305702874448,0.07488990881608681,2019-12-04,True
2019-12-05,-0.20806449229002866,-0.2062523973543292,2019-12-05,True
2019-12-06,-0.4890519445366358,-0.43349821243299125,2019-12-06,True
2019-12-09,0.6516368563410666,0.6607153266845847,2019-12-09,True
2019-12-10,0.9204212377653624,0.9719505327317581,2019-12-10,True
2019-12-11,-0.30281804175907445,-0.2250236573623723,2019-12-11,True
2019-12-12,-0.366273276001129,-0.3355243537749871,2019-12-12,True
2019-12-13,-0.41473362868482433,-0.4132166481189308,2019-12-13,True
2019-12-16,-0.2391452554985659,-0.1753520773513101,2019-12-16,True
2019-12-17,0.10168458780921452,0.10605425067095808,2019-12-17,True
2019-12-18,-0.18594967010023544,-0.3294473330122979,2019-12-18,True
2019-12-19,1.0169654063760172,0.6676415761434831,2019-12-19,True
2019-12-20,0.0957140819154112,0.024031699710283405,2019-12-20,True
2019-12-23,-0.43055829679855673,-0.4487959715486648,2019-12-23,True
2019-12-24,0.07895569206556807,0.0909528735750007,2019-12-24,True
2019-12-25,-0.12992221063514686,-0.04417610356164303,2019-12-25,True
2019-12-26,-0.06835218720377811,0.05864786330154503,2019-12-26,True
2019-12-27,1.6754499895121562,1.6011432452477918,2019-12-27,True
2019-12-30,0.26317061968516553,0.3434054730026088,2019-12-30,True
2019-12-31,0.09164855156612961,0.2640770835370696,2019-12-31,True
2020-01-01,0.09164855156612961,0.2640770835370696,2019-12-31,False
2020-01-02,0.2348809639203473,0.46545572990769934,2020-01-02,True
2020-01-03,-0.14453379219250495,0.04819492763845212,2020-01-03,True
2020-01-06,0.7115030764558161,1.24007001341525,2020-01-06,True
2020-01-07,0.1251593842452321,0.3642283523007557,2020-01-07,True
2020-01-08,0.16050729043863265,0.360916894302165,2020-01-08,True
2020-01-09,-0.05258146341351222,0.11817965555874821,2020-01-09,True
2020-01-10,-0.4339263003401145,-0.36018029009697317,2020-01-10,True
2020-01-13,-0.5011057983818261,-0.4534773057956516,2020-01-13,True
2020-01-14,-0.036622477468339465,-0.06957627079181494,2020-01-14,True
2020-01-15,-0.40401415069983326,-0.4566507543921632,2020-01-15,True
2020-01-16,-0.36912213115629644,-0.500930190598454,2020-01-16,True
2020-01-17,-0.196570496939368,-0.43805531441474443,2020-01-17,True
2020-01-19,-0.196570496939368,-0.43805531441474443,2020-01-17,False
2020-01-20,-0.12886402673876052,-0.40351535570454444,2020-01-20,True
2020-01-21,0.22378061497881818,-0.0577247611538203,2020-01-21,True
2020-01-22,-0.01504705360114622,-0.24888552183931922,2020-01-22,True
2020-01-23,0.5027076409380886,0.2726170815251683,2020-01-23,True
2020-01-24,0.5027076409380886,0.2726170815251683,2020-01-23,False
2020-01-27,0.5027076409380886,0.2726170815251683,2020-01-23,False
2020-01-28,0.5027076409380886,0.2726170815251683,2020-01-23,False
2020-01-29,0.5027076409380886,0.2726170815251683,2020-01-23,False
2020-01-30,0.5027076409380886,0.2726170815251683,2020-01-23,False
2020-01-31,0.5027076409380886,0.2726170815251683,2020-01-23,False
2020-02-03,1.0272337864543601,1.0179543393478352,2020-02-03,True
2020-02-04,0.008271975557815114,0.13847393447422762,2020-02-04,True
2020-02-05,0.02635926627276608,0.2003857620075351,2020-02-05,True
2020-02-06,-0.0039151520311657695,0.21106060490184508,2020-02-06,True
2020-02-07,-0.2808913494515006,-0.10319930424300872,2020-02-07,True
2020-02-10,-0.06679204782434456,0.092696700281512,2020-02-10,True
2020-02-11,-0.07000737091164333,-0.059972711200845574,2020-02-11,True
2020-02-12,-0.39330342272308316,-0.4099671148237435,2020-02-12,True
2020-02-13,-0.29301268164656313,-0.3586951593070482,2020-02-13,True
2020-02-14,0.4823444644575261,0.2184674561364912,2020-02-14,True
2020-02-16,0.4823444644575261,0.2184674561364912,2020-02-14,False
2020-02-17,-0.0013018938716546913,-0.11811728822411816,2020-02-17,True
2020-02-18,-0.16626727949381737,-0.2353819615860534,2020-02-18,True
2020-02-19,0.1304698437057199,0.012714603738940289,2020-02-19,True
2020-02-20,-0.10861836303507078,-0.12418745264023034,2020-02-20,True
2020-02-21,0.46660088908866637,0.5400565382389024,2020-02-21,True
2020-02-24,0.41745391101131823,0.4447895483831501,2020-02-24,True
2020-02-25,0.23168635772890167,0.3318334684172355,2020-02-25,True
2020-02-26,0.13339795236162755,0.3114685635840504,2020-02-26,True
2020-02-27,-0.48594214325716856,-0.4085930109906266,2020-02-27,True
2020-02-28,-0.18690256265186989,-0.08874376480282331,2020-02-28,True
2020-03-02,-0.3619229584442929,-0.31481985018079217,2020-03-02,True
2020-03-03,-0.3514105827419829,-0.3720879968921046,2020-03-03,True
2020-03-04,0.0801836283515982,-0.0837345755479707,2020-03-04,True
2020-03-05,-0.08256967119232783,-0.2909074628242906,2020-03-05,True
2020-03-06,0.1577465376545244,-0.07794311885925953,2020-03-06,True
2020-03-09,0.98934932734087,0.6376537439639214,2020-03-09,True
2020-03-10,0.42510150156206494,0.3980916436174513,2020-03-10,True
2020-03-11,-0.23369142361183848,-0.1404214039316598,2020-03-11,True
2020-03-12,-0.22975145339382153,-0.1057313171416362,2020-03-12,True
2020-03-13,0.08625821503372655,0.26177981154386454,2020-03-13,True
2020-03-16,-0.17765377210888766,-0.019599755955560405,2020-03-16,True
2020-03-17,0.23530866944772844,0.2865872291685485,2020-03-17,True
2020-03-18,-0.10796397062508445,-0.14019765158007702,2020-03-18,True
2020-03-19,0.11460389610522648,0.09079961155688454,2020-03-19,True
2020-03-20,-0.23025764233534107,-0.23166501941130324,2020-03-20,True
2020-03-23,0.15227128688373837,0.08390157594650272,2020-03-23,True
2020-03-24,0.8947759272750277,0.9293476975185444,2020-03-24,True
2020-03-25,0.12500401248670223,0.22795440196916883,2020-03-25,True
2020-03-26,-0.2981038659975531,-0.21299962543239104,2020-03-26,True
2020-03-27,-0.4071885970739141,-0.3632613745141753,2020-03-27,True
2020-03-30,-0.4719468300914036,-0.4191936072345558,2020-03-30,True
2020-03-31,-0.5584326221634814,-0.5430718739488918,2020-03-31,True
2020-04-01,-0.2196854664018889,-0.362489970605292,2020-04-01,True
2020-04-02,-0.09765108444859205,-0.37281875490170047,2020-04-02,True
2020-04-03,0.2266443126370803,-0.17600605151129634,2020-04-03,True
2020-04-06,0.2266443126370803,-0.17600605151129634,2020-04-03,False
2020-04-07,1.4595861414443405,0.6798516354242035,2020-04-07,True
2020-04-08,-0.1700337722425488,-0.30038587046134235,2020-04-08,True
2020-04-09,-0.3463979351615266,-0.3349062857104147,2020-04-09,True
2020-04-10,0.26136548704167595,0.387728048742221,2020-04-10,True
2020-04-13,-0.42190972132455973,-0.31133474066228006,2020-04-13,True
2020-04-14,1.1004076687425592,1.4379497297077162,2020-04-14,True
2020-04-15,0.06400427810652864,0.13482213291495615,2020-04-15,True
2020-04-16,0.0031717291604129727,0.08069163103172317,2020-04-16,True
2020-04-17,-0.0800437888259391,0.0388650641201882,2020-04-17,True
2020-04-20,-0.4147232636361621,-0.37095888626380713,2020-04-20,True
2020-04-21,-0.46465272876481334,-0.4061396269094759,2020-04-21,True
2020-04-22,-0.31965812473270305,-0.35520112888682576,2020-04-22,True
2020-04-23,0.2805948832425389,0.10530119091567247,2020-04-23,True
2020-04-24,0.4457946481881767,0.18228285952807388,2020-04-24,True
2020-04-26,0.4457946481881767,0.18228285952807388,2020-04-24,False
2020-04-27,1.8032561425288898,1.337825742056391,2020-04-27,True
2020-04-28,0.3366784640033915,0.32450026476482363,2020-04-28,True
2020-04-29,-0.5883372991232583,-0.5089873169539831,2020-04-29,True
2020-04-30,-0.45893424889000267,-0.32994186415199467,2020-04-30,True
2020-05-01,-0.45893424889000267,-0.32994186415199467,2020-04-30,False
2020-05-04,-0.45893424889000267,-0.32994186415199467,2020-04-30,False
2020-05-05,-0.45893424889000267,-0.32994186415199467,2020-04-30,False
