Method,Month,Seed,Stage,Epoch,Weighted_MSE,Train_MSE,Train_MSE_standardized
H240,2020-07,965409,Base,97,0.01921415628322636,0.027933799653887315,0.052852104724545275
H240,2020-07,965409,Base,98,0.019122649941976506,0.02777673857754238,0.05255493754507146
H240,2020-07,965409,Base,99,0.019030100176063172,0.0276148048955769,0.0522485511592695
H240,2020-07,965409,Base,100,0.018935367131674673,0.027471692690623373,0.0519777759214829
H240,2020-07,965409,Stacking,1,0.2541720826033288,0.5291436944886745,1.0011655521971343
H240,2020-07,965409,Stacking,2,0.220711116167428,0.5353190083818559,1.01284954580464
H240,2020-07,965409,Stacking,3,0.20077674033162865,0.5439936192088558,1.0292623305154187
H240,2020-07,965409,Stacking,4,0.19216595907948847,0.5503801185649683,1.0413458972687701
H240,2020-07,965409,Stacking,5,0.18942786121923993,0.5480319907385364,1.0369031254537326
H240,2020-07,965409,Stacking,6,0.18441260767405912,0.5308168642828777,1.004331270655807
H240,2020-07,965409,Stacking,7,0.17343114353397776,0.49988784514058765,0.9458120652848937
H240,2020-07,965409,Stacking,8,0.15881097225579938,0.46172466241906773,0.8736054713087306
H240,2020-07,965409,Stacking,9,0.1442750573412245,0.4226890286232813,0.7997481575552542
H240,2020-07,965409,Stacking,10,0.13222344608041586,0.3869699449763001,0.7321659176535541
H240,2020-07,965409,Stacking,11,0.12276296198605481,0.35536355048497076,0.6723650852455445
H240,2020-07,965409,Stacking,12,0.11463312860705585,0.32698652006736795,0.6186743664036473
H240,2020-07,965409,Stacking,13,0.10590649436487594,0.3006560659614396,0.5688558692749297
H240,2020-07,965409,Stacking,14,0.09518334360341375,0.27512909910659117,0.5205576090228664
H240,2020-07,965409,Stacking,15,0.08313061283105184,0.25024143400927057,0.47346893872484086
H240,2020-07,965409,Stacking,16,0.07243130062345504,0.2267199722936325,0.4289651915342475
H240,2020-07,965409,Stacking,17,0.06563102532778076,0.20525213765753408,0.38834700645184683
H240,2020-07,965409,Stacking,18,0.06185345842238,0.1855492851775707,0.35106825327304764
H240,2020-07,965409,Stacking,19,0.05730985717577753,0.1667010673289442,0.3154065102968098
H240,2020-07,965409,Stacking,20,0.05123774472959967,0.1497883484916964,0.28340682539040585
H240,2020-07,965409,Stacking,21,0.046467403900553886,0.13717270208156487,0.25953741007642733
H240,2020-07,965409,Stacking,22,0.04409776554740422,0.12924790934999755,0.244543317594962
H240,2020-07,965409,Stacking,23,0.04213784594622848,0.12396733367908869,0.23455221213051355
H240,2020-07,965409,Stacking,24,0.039255129400999435,0.11971194155112323,0.2265008036870533
H240,2020-07,965409,Stacking,25,0.036338590403727174,0.11674377068594972,0.22088488034865192
H240,2020-07,965409,Stacking,26,0.03465166462894251,0.11589867148486127,0.21928591164292696
H240,2020-07,965409,Stacking,27,0.033925843553840464,0.11693304463673694,0.2212429958500367
H240,2020-07,965409,Stacking,28,0.03308584542376867,0.11870494565177629,0.22459551857049503
H240,2020-07,965409,Stacking,29,0.03192007485839543,0.12034531823819859,0.2276991831202191
H240,2020-07,965409,Stacking,30,0.0309968308865568,0.12168703419600738,0.2302377748331741
H240,2020-07,965409,Stacking,31,0.030586773981086845,0.12267470924362253,0.2321065039605097
H240,2020-07,965409,Stacking,32,0.030244232883950284,0.1229774901887953,0.23267938020438442
H240,2020-07,965409,Stacking,33,0.029549289949204968,0.1223469163925367,0.2314863039766835
H240,2020-07,965409,Stacking,34,0.02857669691284546,0.12078040173862481,0.2285223822199967
H240,2020-07,965409,Stacking,35,0.027624278311329915,0.11843727556305646,0.22408907377115028
H240,2020-07,965409,Stacking,36,0.026910933035909586,0.11544703933574915,0.2184314016966396
H240,2020-07,965409,Stacking,37,0.026354224831180557,0.11179267971353722,0.21151717592544497
H240,2020-07,965409,Stacking,38,0.02575864628490733,0.1074582745185894,0.20331627092431973
