alpha,mean_training_mse,mean_validation_rmse,mean_validation_mse
0.0001524695727017573,0.20136386484715835,2.207178250938358,7.462469902595477
0.00015459277364194784,0.20136390163780335,2.207161690691327,7.462357374081035
0.0001567455410205595,0.20136393912125872,2.2071469280679588,7.462245185585525
0.0001589282865622978,0.20136397908881318,2.2071318501608936,7.462131322104545
0.000161141427725302,0.20136401870670131,2.207116681238656,7.462016008260429
0.00016338538778098603,0.20136405928302362,2.207097752969987,7.46187049501188
0.0001656605958949915,0.20136410105708152,2.2070821798522093,7.461751986078771
0.00016796748720926532,0.20136414662363147,2.2070653522538324,7.461624883333579
0.00017030650292528443,0.20136419074427642,2.2070493582178496,7.461503082163484
0.0001726780903884356,0.20136423609360218,2.207033145426679,7.461379596432297
0.00017508270317357234,0.20136428484633276,2.207014403126384,7.461252223307208
0.0001775208011717636,0.20136433276683716,2.2069977490969688,7.461125303941209
0.00017999285067824765,0.20136438202166768,2.2069808674633737,7.460996629739212
0.00018249932448161524,0.20136443264811157,2.2069637551772656,7.460866176616858
0.0001850407019542302,0.2013644864178203,2.2069423801354304,7.460702416712403
0.00018761746914391195,0.20136454123091876,2.2069237664872325,7.460560742270694
0.00019023011886689457,0.20136459622516872,2.2069059468194574,7.460424811464968
0.00019287915080207777,0.2013646548123888,2.2068877639163667,7.460286872223949
0.00019556507158659492,0.20136471341311948,2.2068670580388656,7.460144914152934
0.00019828839491270713,0.20136477313919574,2.206848505393717,7.460003276860652
0.0002010496416260497,0.20136483676393785,2.2068295792394634,7.459859552402213
0.00020384933982524643,0.20136489986729145,2.206810520841108,7.459713978813232
0.00020668802496290822,0.20136496521766575,2.206787643874665,7.4595348987206505
0.0002095662399480433,0.2013650359527161,2.206766793383914,7.459376704724849
0.00021248453524988828,0.20136510381455763,2.2067462134446565,7.459222189374446
0.00021544346900318823,0.2013651742627341,2.2067260996759783,7.459068415488204
0.00021844360711494284,0.20136524727939467,2.2067030839963655,7.458910057081245
0.00022148552337263592,0.2013653243437398,2.2066823062751575,7.458751885812407
0.0002245697995539774,0.20136540094093003,2.206661356351519,7.458591650997397
0.000227697025538168,0.2013654796708097,2.206640121588624,7.458429204949169
0.00023086779941871674,0.20136556403367667,2.206614612944008,7.458230138778632
0.00023408272761782944,0.20136564926046585,2.206591523515434,7.458053795900762
0.00023734242500238661,0.2013657347904571,2.206569416133109,7.457884543300997
0.00024064751500154242,0.2013658257771195,2.206546896846849,7.457712835364042
0.00024399862972595502,0.20136591530014786,2.2065233541032496,7.457535668061809
0.00024739641008868115,0.20136600891422612,2.206497469800696,7.457356633855889
0.00025084150592775414,0.20136610762505947,2.206474046442613,7.457177750677249
0.00025433457613046484,0.2013662056060573,2.206450427778313,7.456996533776336
0.0002578762887593801,0.20136630704466443,2.206422288225448,7.456775660882103
0.0002614673211801092,0.20136641664463922,2.2063965034858573,7.456578862789108
