Year,Seed,Budget,Model,Split,N,MAPE,MSE,MSE_standardized
2020,2025,100,Base,Test,271,13.058727718444505,1.3330030927743994,2.518062376117916
2020,2025,100,Stacking,Train,2034,2.6905523763535157,0.017061919860412805,0.03223021664220226
2020,2025,100,Stacking,Test,271,13.08795230449051,1.321794602648977,2.496889374021445
2020,2025,100,DirectReturns,Train,2034,2.7897228888906347,0.017588481990917372,0.03322490022298255
2020,2025,100,DirectReturns,Test,271,14.423813151512274,2.1110832860498787,3.9878672632256533
2020,0,100,Base,Train,2034,3.18230929794033,0.023026927281616982,0.04349820307225359
2020,0,100,Base,Test,271,13.513791961565847,1.4627339965487325,2.763125954428164
2020,0,100,Stacking,Train,2034,3.006197674972911,0.02051609576662778,0.03875520554663909
2020,0,100,Stacking,Test,271,13.935275840342523,1.4974533789157318,2.8287113764982905
2020,0,100,DirectReturns,Train,2034,2.9524327010168947,0.019816103763403394,0.03743291039484453
2020,0,100,DirectReturns,Test,271,16.657778045847408,2.8830371453163908,5.44609941561497
2020,1,100,Base,Train,2034,3.017327568777827,0.021326824562365208,0.04028668412223104
2020,1,100,Base,Test,271,14.941057692324925,1.4298119228228976,2.7009356747190116
2020,1,100,Stacking,Train,2034,2.8571154670431063,0.01834133179707816,0.03464704453910379
2020,1,100,Stacking,Test,271,14.719575024041612,1.3677000167082831,2.5836053738787803
2020,1,100,DirectReturns,Train,2034,2.798258762717147,0.01839901489694862,0.03475600876004896
2020,1,100,DirectReturns,Test,271,14.870247534257091,1.902044581434506,3.5929900869478026
2020,21,100,Base,Train,2034,2.8296242767997932,0.01896933104941817,0.035833344329493845
2020,21,100,Base,Test,271,11.013948859890498,0.9760669592151547,1.8438047892717568
2020,21,100,Stacking,Train,2034,2.7611400468288076,0.016957117638313195,0.032032243708881206
2020,21,100,Stacking,Test,271,11.052819127462723,1.0094389324642539,1.9068449357731962
2020,21,100,DirectReturns,Train,2034,2.673457133709711,0.017636789092180107,0.033316153045161556
2020,21,100,DirectReturns,Test,271,14.51768843425599,1.6872456096774584,3.1872316816282016
2020,100,100,Base,Train,2034,2.9423921303896394,0.02066594628887955,0.039038275379086704
2020,100,100,Base,Test,271,15.696858119872767,1.458669802117161,2.755448631590099
2020,100,100,Stacking,Train,2034,2.880799881051408,0.018661471518786006,0.03525179316474694
2020,100,100,Stacking,Test,271,15.84500364442078,1.4419786655988105,2.7239188301145227
2020,100,100,DirectReturns,Train,2034,2.5748445062825973,0.014792611775186522,0.02794346041470145
2020,100,100,DirectReturns,Test,271,17.476879876833472,2.8945833852908134,5.467910432125599
2020,999,100,Base,Train,2034,2.8502714653278303,0.019354882132262812,0.03656165597486444
2020,999,100,Base,Test,271,10.05546526758828,0.6574578302503318,1.2419474757495286
2020,999,100,Stacking,Train,2034,2.7098607738809144,0.017199716141501238,0.03249051583644912
2020,999,100,Stacking,Test,271,10.270414218279411,0.6713649748926623,1.2682182757746032
2020,999,100,DirectReturns,Train,2034,2.784823319556059,0.018525691656307765,0.03499530301480339
2020,999,100,DirectReturns,Test,271,18.015794881796463,3.3573239464995392,6.3420341332628665
2021,42,100,Base,Train,2305,3.4497125730719267,0.031598844970128284,0.024516207232681823
2021,42,100,Base,Test,272,5.830128795248822,0.7633493165754954,0.5922504462989843
2021,42,100,Stacking,Train,2305,3.3766076617710605,0.027645110434600422,0.021448671843092598
2021,42,100,Stacking,Test,272,5.763140015184087,0.6908375961938704,0.5359916695824699
2021,42,100,DirectReturns,Train,2305,3.5429377101212154,0.031239532670488006,0.024237432017715582
2021,42,100,DirectReturns,Test,272,7.9064554045902184,1.1706580212189508,0.9082640417374889
2021,7,100,Base,Train,2305,3.591749247214362,0.0335814039153057,0.026054390859232886
2021,7,100,Base,Test,272,7.3002568688053575,1.1099879502187353,0.8611926998935415
2021,7,100,Stacking,Train,2305,3.4805608284942733,0.029309370887134017,0.022739901132708774
2021,7,100,Stacking,Test,272,8.410055984460728,1.348202510727378,1.0460133013045432
2021,7,100,DirectReturns,Train,2305,3.4238235283182616,0.030724972340433254,0.0238382064226894
2021,7,100,DirectReturns,Test,272,6.351185151460831,0.7536771953840427,0.5847462565814983
2021,123,100,Base,Train,2305,3.4019440116517607,0.032846754641831094,0.025484407562410834
2021,123,100,Base,Test,272,18.61842245016156,4.84833657226461,3.761619269685188
2021,123,100,Stacking,Train,2305,3.356304190153813,0.02852632110049275,0.022132365924983532
2021,123,100,Stacking,Test,272,20.89561942947398,5.80469568751092,4.503617854772951
2021,123,100,DirectReturns,Train,2305,3.213885553888708,0.027690952090563496,0.021484238444927015
2021,123,100,DirectReturns,Test,272,5.7456279909681465,0.6509967526137563,0.5050808442514081
2021,2024,100,Base,Train,2305,3.2606268461086225,0.031036828004143143,0.02408016204117561
2021,2024,100,Base,Test,272,5.49257919333334,0.6591333584983685,0.5113936925921112
2021,2024,100,Stacking,Train,2305,3.1891918161574573,0.02699289027909338,0.020942641812284234
2021,2024,100,Stacking,Test,272,6.056739202383676,0.757067891789034,0.5873769545011994
2021,2024,100,DirectReturns,Train,2305,3.3204018381427334,0.02871597654960574,0.022279511565833916
2021,2024,100,DirectReturns,Test,272,6.579462889518925,0.8570009154910823,0.6649107605875925
2021,2025,100,Base,Train,2305,3.394051723893423,0.032592506965073535,0.025287147544276984
2021,2025,100,Base,Test,272,7.389457464717491,1.0508462407000858,0.8153071490759416
2021,2025,100,Stacking,Train,2305,3.3643054598098625,0.0278208641561879,0.021585031721576352
2021,2025,100,Stacking,Test,272,8.7828765100457,1.317855613073031,1.0224684270388449
2021,2025,100,DirectReturns,Train,2305,3.546529245442188,0.031665574219049024,0.024567979634380958
2021,2025,100,DirectReturns,Test,272,6.008088220256867,0.750844114896111,0.5825481892655993
2021,0,100,Base,Train,2305,3.5813329605090387,0.03659079826900751,0.028389252645793832
